Compound_ID,Canonical_SMILES,InChIKey,logP_median,logP_uncertainty,n_measurements,logP_min,logP_max,Tier,TPSA,MW,Coumarin_Type,Cluster_ID,Murcko_scaffold_ID,is_OOD,external_role,Murcko_scaffold_SMILES_v2,Murcko_scaffold_ID_v2
CMR_GOLD_064,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC(Br)=CC=C5,MKMKKXXEWVMCTG-UHFFFAOYSA-N,1.63,,1,1.63,1.63,EXTENDED,72.27,519.19,triazolo_thiadiazinyl_coumarin,,,False,EXT_B,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,47bd48b2765d5c36
CMR_GOLD_065,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Br)C=C5,FAIPVVRVWUJTNU-UHFFFAOYSA-N,1.58,,1,1.58,1.58,EXTENDED,72.27,519.19,triazolo_thiadiazinyl_coumarin,,,False,EXT_B,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,47bd48b2765d5c36
CMR_GOLD_066,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=C(O)C=CC=C5,LLAKNVAGYPODDR-UHFFFAOYSA-N,0.826,,1,0.826,0.826,EXTENDED,92.5,456.29,triazolo_thiadiazinyl_coumarin,,,False,EXT_B,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,47bd48b2765d5c36
CMR_GOLD_067,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(O)C=C5,YYGBGJCALOTOGC-UHFFFAOYSA-N,0.645,,1,0.645,0.645,EXTENDED,92.5,456.29,triazolo_thiadiazinyl_coumarin,,,False,EXT_B,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,47bd48b2765d5c36
CMR_GOLD_068,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Cl)C=C5,VCHSOQDOUPBEMS-UHFFFAOYSA-N,1.501,,1,1.501,1.501,EXTENDED,72.27,474.74,triazolo_thiadiazinyl_coumarin,,,False,EXT_B,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,47bd48b2765d5c36
CMR_GOLD_069,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(C)C=C5,KUUKOGJGCIEGPL-UHFFFAOYSA-N,1.806,,1,1.806,1.806,EXTENDED,72.27,454.32,triazolo_thiadiazinyl_coumarin,,,False,EXT_B,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,47bd48b2765d5c36
CMR_GOLD_070,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=NC=C5,VDCHIJLGNUQOOS-UHFFFAOYSA-N,1.22,,1,1.22,1.22,EXTENDED,85.16,441.28,triazolo_thiadiazinyl_coumarin,,,False,EXT_B,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccncc2)SC1,1acd266a02d1b0d5
CMR_GOLD_071,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=CC=C(Cl)C=C5,ZDMCNZSAXWOHRA-UHFFFAOYSA-N,1.421,,1,1.421,1.421,EXTENDED,81.5,504.76,triazolo_thiadiazinyl_coumarin,,,False,EXT_B,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2COc2ccccc2)SC1,dd7236d48321096b
CMR_GOLD_072,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=C(Cl)C=C(Cl)C=C5,KIZYZPPHUZTXEF-UHFFFAOYSA-N,1.471,,1,1.471,1.471,EXTENDED,81.5,539.21,triazolo_thiadiazinyl_coumarin,,,False,EXT_B,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2COc2ccccc2)SC1,dd7236d48321096b
CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,TZJHFLAZFVSYNA-UHFFFAOYSA-N,3.304,,1,3.304,3.304,GOLD,77.99,478.32,conjugated_coumarin,,,False,NONE,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,eabd3555167d32bb
CMR_GOLD_019,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,FONDRZKQMLLWBL-UHFFFAOYSA-N,3.112,,1,3.112,3.112,GOLD,77.99,557.22,conjugated_coumarin,,,False,NONE,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,eabd3555167d32bb
CMR_GOLD_020,O=C1OC2=C(C3=C(C=CC=C3)C=C2)C=C1C4=CSC(N5C=C(C=O)C(C6=CC=CC=C6)=N5)=N4,KFSIRGRDADUFSL-UHFFFAOYSA-N,3.537,,1,3.537,3.537,GOLD,77.99,449.48,conjugated_coumarin,,,False,NONE,O=c1oc2ccc3ccccc3c2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,50ce744055e6ecbe
CMR_GOLD_021,O=C1OC2=C(C=C(Cl)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,MRPAHBAKVGGNKL-UHFFFAOYSA-N,3.059,,1,3.059,3.059,GOLD,77.99,468.31,conjugated_coumarin,,,False,NONE,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,eabd3555167d32bb
CMR_GOLD_022,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,YOBMXFBNTOAJGA-UHFFFAOYSA-N,3.002,,1,3.002,3.002,GOLD,77.99,502.75,conjugated_coumarin,,,False,NONE,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,eabd3555167d32bb
CMR_GOLD_023,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,GVDSGSNQGKTQDV-UHFFFAOYSA-N,3.067,,1,3.067,3.067,GOLD,77.99,512.76,conjugated_coumarin,,,False,NONE,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,eabd3555167d32bb
CMR_GOLD_024,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,GTESRUPFPQENRF-UHFFFAOYSA-N,3.602,,1,3.602,3.602,GOLD,77.99,482.34,conjugated_coumarin,,,False,NONE,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,eabd3555167d32bb
CMR_GOLD_025,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,UFXNTBVZGPQZIK-UHFFFAOYSA-N,3.336,,1,3.336,3.336,GOLD,77.99,571.24,conjugated_coumarin,,,False,NONE,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,eabd3555167d32bb
CMR_GOLD_056,O=C1OC2=C(C=CC=C2)C=C1/N=C(C(C=CC=C3)=C3N4)/C4=N/CC(O)=O,BKPUQHIKQWEDJG-UHFFFAOYSA-N,0.42,,1,0.42,0.42,GOLD,104.26,347.33,3-imino-coumarin derivative,,,False,NONE,N=C1Nc2ccccc2/C1=N\c1cc2ccccc2oc1=O,e45ad354abecc25c
CMR_GOLD_073,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC4=CC3=C(OCCO3)C=C4,TWEQISLIBQYRBQ-UHFFFAOYSA-N,2.07,,1,2.07,2.07,GOLD,96.23,458.43,phosphonate_coumarin,,,False,NONE,O=c1oc2ccccc2cc1CNc1ccc2c(c1)OCCO2,6cbba234bd09beca
CMR_GOLD_074,COC1=CC=C(C=C1)CCNC(C)C2=C(C3=C(OC2=O)C=CC=C3)[P](OCC)(OCC)=O,QRGBJRDLNJQYCO-UHFFFAOYSA-N,2.43,,1,2.43,2.43,GOLD,87.0,458.47,phosphonate_coumarin,,,False,NONE,O=c1oc2ccccc2cc1CNCCc1ccccc1,85f8666f2e3b0967
CMR_GOLD_075,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC3=CC=CC4=C3C=CC=C4,HRQAUEOSONFPCR-UHFFFAOYSA-N,2.65,,1,2.65,2.65,GOLD,77.77,450.45,phosphonate_coumarin,,,False,NONE,O=c1oc2ccccc2cc1CNc1cccc2ccccc12,dd16d49300a8a332
CMR_GOLD_076,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NCC3=CC=C(F)C=C3,SFKGQAZGZSENLB-UHFFFAOYSA-N,2.52,,1,2.52,2.52,GOLD,77.77,432.41,phosphonate_coumarin,,,False,NONE,O=c1oc2ccccc2cc1CNCc1ccccc1,f224839e51bc1d7e
CMR_GOLD_077,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC5=CC=C(C4=C(C(OCC)=O)C3=C(C=CC=C3)N=C4)C=C5,MMEDGJILZJATHM-UHFFFAOYSA-N,2.8,,1,2.8,2.8,GOLD,116.96,599.6,phosphonate_coumarin,,,False,NONE,O=c1oc2ccccc2cc1CNc1ccc(-c2cnc3ccccc3c2)cc1,0720b57a460c90e6
CMR_GOLD_078,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,IEBSHWSREVBXAF-UHFFFAOYSA-N,2.25,,1,2.25,2.25,GOLD,90.02,346.35,conjugated_coumarin,,,False,NONE,O=C(NCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,ac97d49052e9cf8a
CMR_GOLD_079,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,PHNJFWZJDVERFC-UHFFFAOYSA-N,2.02,,1,2.02,2.02,GOLD,110.25,362.35,conjugated_coumarin,,,False,NONE,O=C(NCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,ac97d49052e9cf8a
CMR_GOLD_080,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,OYXCRXWAOUTNAG-UHFFFAOYSA-N,1.9,,1,1.9,1.9,GOLD,133.16,405.37,conjugated_coumarin,,,False,NONE,O=C(Cc1ccccc1)NCc1cn(-c2cc3ccccc3oc2=O)nn1,eed876720d67081c
CMR_GOLD_081,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,JHMHCXOTGPPDSS-UHFFFAOYSA-N,1.95,,1,1.95,1.95,GOLD,119.48,392.37,conjugated_coumarin,,,False,NONE,O=C(NCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,ac97d49052e9cf8a
CMR_GOLD_082,OC(C(OC)=C1)=CC=C1/C=C/C(NCC(N=N2)=CN2C3=CC4=C(C=CC=C4)OC3=O)=O,FHCVKQZTLMYWBL-VQHVLOKHSA-N,2.65,,1,2.65,2.65,GOLD,119.48,418.41,conjugated_coumarin,,,False,NONE,O=C(/C=C/c1ccccc1)NCc1cn(-c2cc3ccccc3oc2=O)nn1,9b57f32c4b4a5524
CMR_GOLD_083,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,PRZBBYDGQVNRNE-UHFFFAOYSA-N,2.38,,1,2.38,2.38,GOLD,87.22,347.33,conjugated_coumarin,,,False,NONE,O=C(OCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,d4d4f4d698055093
CMR_GOLD_084,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,IRILGRNFFVBKQH-UHFFFAOYSA-N,2.65,,1,2.65,2.65,GOLD,107.45,363.33,conjugated_coumarin,,,False,NONE,O=C(OCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,d4d4f4d698055093
CMR_GOLD_085,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,GMOOKUXTICBQOK-UHFFFAOYSA-N,2.41,,1,2.41,2.41,GOLD,130.36,406.35,conjugated_coumarin,,,False,NONE,O=C(Cc1ccccc1)OCc1cn(-c2cc3ccccc3oc2=O)nn1,091fc13bb30b6b1d
