Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 46,O=c1oc2ccccc2c(c1)C1=NOCN1,C11H8N2O3,216.19,16,10,0.09,1,4,1,64.96,63.83,1.43,1.16,0.27,1.90,2.49,1.45,-2.31,1.06e+00,4.92e-03,Soluble,-2.10,1.74e+00,8.03e-03,Soluble,-4.00,2.19e-02,1.01e-04,Soluble,High,No,No,Yes,No,No,No,No,-6.80,0,0,0,0,0,0.55,0,1,1,2.93
Molecule 47,CC1ON=C(N1)c1cc(=O)oc2c1cccc2,C12H10N2O3,230.22,17,10,0.17,1,4,1,69.76,63.83,1.79,1.59,0.66,2.18,2.53,1.75,-2.64,5.29e-01,2.30e-03,Soluble,-2.54,6.62e-01,2.87e-03,Soluble,-4.15,1.62e-02,7.05e-05,Moderately soluble,High,No,No,No,No,No,No,No,-6.58,0,0,0,0,0,0.55,0,1,1,3.51
Molecule 48,O=c1oc2ccccc2c(c1)C1=NOCN1c1ccccc1,C17H12N2O3,292.29,22,16,0.06,2,4,0,90.09,55.04,2.40,2.90,2.19,3.51,3.38,2.88,-3.89,3.81e-02,1.30e-04,Soluble,-3.72,5.62e-02,1.92e-04,Soluble,-5.78,4.83e-04,1.65e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.02,0,0,0,0,0,0.55,0,1,0,3.22
Molecule 49,O=c1oc2ccccc2c(c1)C1=NOC(N1c1ccccc1)C,C18H14N2O3,306.32,23,16,0.11,2,4,0,94.90,55.04,2.65,3.33,2.58,3.75,3.46,3.15,-4.22,1.85e-02,6.03e-05,Moderately soluble,-4.16,2.11e-02,6.88e-05,Moderately soluble,-5.93,3.58e-04,1.17e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.80,0,0,0,0,0,0.55,0,1,0,3.81
Molecule 50,O=c1oc2ccccc2c(c1)c1noc(=S)n1c1ccccc1,C17H10N2O3S,322.34,23,21,0.00,2,4,0,88.14,93.26,2.69,3.47,3.97,2.93,4.36,3.48,-4.57,8.71e-03,2.70e-05,Moderately soluble,-5.11,2.50e-03,7.75e-06,Moderately soluble,-6.38,1.35e-04,4.20e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,No,-5.80,0,0,0,0,0,0.55,0,2,0,3.21
Molecule 51,O=c1oc2ccccc2c(c1)C1=NOS(=O)N1c1ccccc1,C16H10N2O4S,326.33,23,16,0.00,2,5,0,93.57,91.32,2.44,2.55,2.67,3.20,1.97,2.57,-3.85,4.58e-02,1.40e-04,Soluble,-4.12,2.50e-02,7.67e-05,Moderately soluble,-5.50,1.02e-03,3.13e-06,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.48,0,0,0,0,0,0.55,0,1,0,3.81
Molecule 52,COc1ccc(cc1)c1noc(n1)c1cc(=O)oc2c1cccc2,C18H12N2O4,320.30,24,21,0.06,3,6,0,87.70,78.36,3.23,2.97,3.52,2.29,3.84,3.17,-4.15,2.29e-02,7.14e-05,Moderately soluble,-4.28,1.69e-02,5.26e-05,Moderately soluble,-7.22,1.93e-05,6.01e-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-6.15,0,0,0,0,0,0.55,0,1,0,3.30
Molecule 53,COc1ccc(cc1)C1=NOC(O1)c1cc(=O)oc2c1cccc2,C18H13NO5,323.30,24,16,0.11,3,6,0,90.30,70.26,3.06,3.06,2.50,3.20,3.88,3.14,-4.07,2.77e-02,8.56e-05,Moderately soluble,-4.20,2.03e-02,6.28e-05,Moderately soluble,-6.07,2.76e-04,8.55e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,No,-6.10,0,0,0,0,0,0.55,0,1,0,4.11
Molecule 54,O=c1ccc2c(o1)cccc2,C9H6O2,146.14,11,10,0.00,0,2,0,42.48,30.21,1.75,1.39,1.79,1.65,2.50,1.82,-2.29,7.42e-01,5.08e-03,Soluble,-1.63,3.44e+00,2.35e-02,Very soluble,-3.59,3.77e-02,2.58e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.20,0,2,0,0,1,0.55,0,1,1,2.74
Molecule 55,OC(=O)C/N=C/1\Nc2c(\C1=N/c1cc3ccccc3oc1=O)cccc2,C19H13N3O4,347.32,26,16,0.05,3,6,2,101.38,104.26,1.75,1.39,2.25,1.65,2.50,1.82,-2.29,7.42e-01,5.08e-03,Soluble,-1.63,3.44e+00,2.35e-02,Very soluble,-3.59,3.77e-02,2.58e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.20,0,2,0,0,1,0.55,0,1,1,2.74
