feature,mean_abs_shap,mean_shap
ECFP_0191,0.00021866736642550677,8.002916729310527e-05
ECFP_1276,0.00018531466776039451,0.00011901077232323587
ECFP_0658,0.00018339794769417495,7.726737385382876e-05
ECFP_0238,0.0001828971435315907,-1.3876469893148169e-05
ECFP_0033,0.00010730051872087643,6.425089668482542e-05
ECFP_1468,0.00010536587797105312,-1.958002758328803e-05
ECFP_1733,0.0001012090069707483,-3.708370786625892e-05
ECFP_1808,8.798148337518796e-05,4.105241532670334e-05
ECFP_1114,8.310792327392846e-05,-2.0948951714672148e-05
ECFP_1845,7.492899021599442e-05,2.229684469057247e-05
ECFP_1638,6.208623381098732e-05,-1.65250530699268e-05
ECFP_0045,3.5232744266977534e-05,1.5082706340763252e-05
ECFP_1922,3.4204025723738596e-05,-3.4204025723738596e-05
ECFP_0323,3.398211993044242e-05,1.585345307830721e-05
ECFP_0333,3.191036739735864e-05,8.621334018243942e-06
ECFP_0093,2.3246524506248534e-05,1.739986146276351e-05
ECFP_0114,1.8195121811004356e-05,-1.5079866898304317e-05
ECFP_0067,0.0,0.0
ECFP_0068,0.0,0.0
ECFP_0069,0.0,0.0
ECFP_0070,0.0,0.0
ECFP_0071,0.0,0.0
ECFP_0072,0.0,0.0
ECFP_0073,0.0,0.0
ECFP_0074,0.0,0.0
ECFP_0075,0.0,0.0
ECFP_0076,0.0,0.0
ECFP_0077,0.0,0.0
ECFP_0078,0.0,0.0
ECFP_0079,0.0,0.0
ECFP_0081,0.0,0.0
ECFP_0082,0.0,0.0
ECFP_0083,0.0,0.0
ECFP_0084,0.0,0.0
ECFP_0085,0.0,0.0
ECFP_0086,0.0,0.0
ECFP_0087,0.0,0.0
ECFP_0088,0.0,0.0
ECFP_0089,0.0,0.0
ECFP_0090,0.0,0.0
ECFP_0091,0.0,0.0
ECFP_0092,0.0,0.0
ECFP_0094,0.0,0.0
ECFP_0095,0.0,0.0
ECFP_0096,0.0,0.0
ECFP_0097,0.0,0.0
ECFP_0098,0.0,0.0
ECFP_0099,0.0,0.0
ECFP_0100,0.0,0.0
ECFP_0101,0.0,0.0
ECFP_0102,0.0,0.0
ECFP_0104,0.0,0.0
ECFP_0105,0.0,0.0
ECFP_0106,0.0,0.0
ECFP_0107,0.0,0.0
ECFP_0108,0.0,0.0
ECFP_0109,0.0,0.0
ECFP_0110,0.0,0.0
ECFP_0111,0.0,0.0
ECFP_0112,0.0,0.0
ECFP_0113,0.0,0.0
ECFP_0115,0.0,0.0
ECFP_0117,0.0,0.0
ECFP_0119,0.0,0.0
ECFP_0120,0.0,0.0
ECFP_0121,0.0,0.0
ECFP_0122,0.0,0.0
ECFP_0123,0.0,0.0
ECFP_0124,0.0,0.0
ECFP_0125,0.0,0.0
ECFP_0126,0.0,0.0
ECFP_0127,0.0,0.0
ECFP_0128,0.0,0.0
ECFP_0129,0.0,0.0
ECFP_0130,0.0,0.0
ECFP_0131,0.0,0.0
ECFP_0132,0.0,0.0
ECFP_0134,0.0,0.0
ECFP_0135,0.0,0.0
ECFP_0136,0.0,0.0
ECFP_0137,0.0,0.0
ECFP_0138,0.0,0.0
ECFP_0139,0.0,0.0
ECFP_0140,0.0,0.0
ECFP_0141,0.0,0.0
ECFP_0142,0.0,0.0
ECFP_0143,0.0,0.0
ECFP_0144,0.0,0.0
ECFP_0145,0.0,0.0
ECFP_0146,0.0,0.0
ECFP_0148,0.0,0.0
ECFP_0149,0.0,0.0
ECFP_0150,0.0,0.0
ECFP_0151,0.0,0.0
ECFP_0152,0.0,0.0
ECFP_0153,0.0,0.0
ECFP_0154,0.0,0.0
ECFP_0155,0.0,0.0
ECFP_0156,0.0,0.0
ECFP_0157,0.0,0.0
ECFP_0158,0.0,0.0
ECFP_0159,0.0,0.0
ECFP_0160,0.0,0.0
ECFP_0161,0.0,0.0
ECFP_0162,0.0,0.0
ECFP_0163,0.0,0.0
ECFP_0164,0.0,0.0
ECFP_0165,0.0,0.0
ECFP_0166,0.0,0.0
ECFP_0167,0.0,0.0
ECFP_0168,0.0,0.0
ECFP_0169,0.0,0.0
ECFP_0170,0.0,0.0
ECFP_0172,0.0,0.0
ECFP_0173,0.0,0.0
ECFP_0174,0.0,0.0
ECFP_0175,0.0,0.0
ECFP_0176,0.0,0.0
ECFP_0177,0.0,0.0
ECFP_0178,0.0,0.0
ECFP_0179,0.0,0.0
ECFP_0180,0.0,0.0
ECFP_0181,0.0,0.0
ECFP_0182,0.0,0.0
ECFP_0183,0.0,0.0
ECFP_0184,0.0,0.0
ECFP_0185,0.0,0.0
ECFP_0186,0.0,0.0
ECFP_0188,0.0,0.0
ECFP_0189,0.0,0.0
ECFP_0190,0.0,0.0
ECFP_0193,0.0,0.0
ECFP_0194,0.0,0.0
ECFP_0195,0.0,0.0
ECFP_0196,0.0,0.0
ECFP_0198,0.0,0.0
ECFP_0199,0.0,0.0
ECFP_0200,0.0,0.0
ECFP_0201,0.0,0.0
ECFP_0204,0.0,0.0
ECFP_0205,0.0,0.0
ECFP_0206,0.0,0.0
ECFP_0207,0.0,0.0
ECFP_0208,0.0,0.0
ECFP_0209,0.0,0.0
ECFP_0210,0.0,0.0
ECFP_0211,0.0,0.0
ECFP_0212,0.0,0.0
ECFP_0213,0.0,0.0
ECFP_0214,0.0,0.0
ECFP_0215,0.0,0.0
ECFP_0216,0.0,0.0
ECFP_0217,0.0,0.0
ECFP_0218,0.0,0.0
ECFP_0219,0.0,0.0
ECFP_0220,0.0,0.0
ECFP_0221,0.0,0.0
ECFP_0222,0.0,0.0
ECFP_0223,0.0,0.0
ECFP_0224,0.0,0.0
ECFP_0225,0.0,0.0
ECFP_0226,0.0,0.0
ECFP_0228,0.0,0.0
ECFP_0229,0.0,0.0
ECFP_0230,0.0,0.0
ECFP_0231,0.0,0.0
ECFP_0232,0.0,0.0
ECFP_0233,0.0,0.0
ECFP_0234,0.0,0.0
ECFP_0236,0.0,0.0
ECFP_0237,0.0,0.0
ECFP_0239,0.0,0.0
ECFP_0240,0.0,0.0
ECFP_0241,0.0,0.0
ECFP_0242,0.0,0.0
ECFP_0243,0.0,0.0
ECFP_0244,0.0,0.0
ECFP_0245,0.0,0.0
ECFP_0246,0.0,0.0
ECFP_0247,0.0,0.0
ECFP_0250,0.0,0.0
ECFP_0251,0.0,0.0
ECFP_0252,0.0,0.0
ECFP_0253,0.0,0.0
ECFP_0254,0.0,0.0
ECFP_0256,0.0,0.0
ECFP_0257,0.0,0.0
ECFP_0258,0.0,0.0
ECFP_0259,0.0,0.0
ECFP_0260,0.0,0.0
ECFP_0261,0.0,0.0
ECFP_0262,0.0,0.0
ECFP_0263,0.0,0.0
ECFP_0264,0.0,0.0
ECFP_0265,0.0,0.0
ECFP_0266,0.0,0.0
ECFP_0267,0.0,0.0
ECFP_0268,0.0,0.0
ECFP_0269,0.0,0.0
ECFP_0270,0.0,0.0
ECFP_0272,0.0,0.0
ECFP_0273,0.0,0.0
ECFP_0274,0.0,0.0
ECFP_0275,0.0,0.0
ECFP_0276,0.0,0.0
ECFP_0277,0.0,0.0
ECFP_0278,0.0,0.0
ECFP_0279,0.0,0.0
ECFP_0280,0.0,0.0
ECFP_0281,0.0,0.0
ECFP_0282,0.0,0.0
ECFP_0283,0.0,0.0
ECFP_0284,0.0,0.0
ECFP_0285,0.0,0.0
ECFP_0286,0.0,0.0
ECFP_0287,0.0,0.0
ECFP_0288,0.0,0.0
ECFP_0290,0.0,0.0
ECFP_0291,0.0,0.0
ECFP_0292,0.0,0.0
ECFP_0293,0.0,0.0
ECFP_0295,0.0,0.0
ECFP_0296,0.0,0.0
ECFP_0297,0.0,0.0
ECFP_0298,0.0,0.0
ECFP_0299,0.0,0.0
ECFP_0300,0.0,0.0
ECFP_0301,0.0,0.0
ECFP_0302,0.0,0.0
ECFP_0303,0.0,0.0
ECFP_0304,0.0,0.0
ECFP_0306,0.0,0.0
ECFP_0307,0.0,0.0
ECFP_0308,0.0,0.0
ECFP_0309,0.0,0.0
ECFP_0310,0.0,0.0
ECFP_0311,0.0,0.0
ECFP_0312,0.0,0.0
ECFP_0313,0.0,0.0
ECFP_0314,0.0,0.0
ECFP_0315,0.0,0.0
ECFP_0316,0.0,0.0
ECFP_0317,0.0,0.0
ECFP_0318,0.0,0.0
ECFP_0319,0.0,0.0
ECFP_0320,0.0,0.0
ECFP_0321,0.0,0.0
ECFP_0324,0.0,0.0
ECFP_0325,0.0,0.0
ECFP_0326,0.0,0.0
ECFP_0327,0.0,0.0
ECFP_0328,0.0,0.0
ECFP_0329,0.0,0.0
ECFP_0330,0.0,0.0
ECFP_0331,0.0,0.0
ECFP_0332,0.0,0.0
ECFP_0334,0.0,0.0
ECFP_0335,0.0,0.0
ECFP_0336,0.0,0.0
ECFP_0337,0.0,0.0
ECFP_0338,0.0,0.0
ECFP_0339,0.0,0.0
ECFP_0340,0.0,0.0
ECFP_0342,0.0,0.0
ECFP_0344,0.0,0.0
ECFP_0345,0.0,0.0
ECFP_0346,0.0,0.0
ECFP_0347,0.0,0.0
ECFP_0348,0.0,0.0
ECFP_0349,0.0,0.0
ECFP_0350,0.0,0.0
ECFP_0351,0.0,0.0
ECFP_0353,0.0,0.0
ECFP_0354,0.0,0.0
ECFP_0355,0.0,0.0
ECFP_0356,0.0,0.0
ECFP_0357,0.0,0.0
ECFP_0358,0.0,0.0
ECFP_0359,0.0,0.0
ECFP_0360,0.0,0.0
ECFP_0361,0.0,0.0
ECFP_0362,0.0,0.0
ECFP_0363,0.0,0.0
ECFP_0364,0.0,0.0
ECFP_0365,0.0,0.0
ECFP_0366,0.0,0.0
ECFP_0367,0.0,0.0
ECFP_0369,0.0,0.0
ECFP_0370,0.0,0.0
ECFP_0371,0.0,0.0
ECFP_0372,0.0,0.0
ECFP_0373,0.0,0.0
ECFP_0374,0.0,0.0
ECFP_0375,0.0,0.0
ECFP_0376,0.0,0.0
ECFP_0377,0.0,0.0
ECFP_0379,0.0,0.0
ECFP_0380,0.0,0.0
ECFP_0381,0.0,0.0
ECFP_0382,0.0,0.0
ECFP_0383,0.0,0.0
ECFP_0384,0.0,0.0
ECFP_0385,0.0,0.0
ECFP_0386,0.0,0.0
ECFP_0387,0.0,0.0
ECFP_0388,0.0,0.0
ECFP_0390,0.0,0.0
ECFP_0391,0.0,0.0
ECFP_0392,0.0,0.0
ECFP_0393,0.0,0.0
ECFP_0394,0.0,0.0
ECFP_0395,0.0,0.0
ECFP_0396,0.0,0.0
ECFP_0397,0.0,0.0
ECFP_0398,0.0,0.0
ECFP_0399,0.0,0.0
ECFP_0400,0.0,0.0
ECFP_0401,0.0,0.0
ECFP_0402,0.0,0.0
ECFP_0403,0.0,0.0
ECFP_0404,0.0,0.0
ECFP_0405,0.0,0.0
ECFP_0407,0.0,0.0
ECFP_0408,0.0,0.0
ECFP_0409,0.0,0.0
ECFP_0410,0.0,0.0
ECFP_0411,0.0,0.0
ECFP_0412,0.0,0.0
ECFP_0413,0.0,0.0
ECFP_0414,0.0,0.0
ECFP_0415,0.0,0.0
ECFP_0416,0.0,0.0
ECFP_0417,0.0,0.0
ECFP_0418,0.0,0.0
ECFP_0419,0.0,0.0
ECFP_0420,0.0,0.0
ECFP_0421,0.0,0.0
ECFP_0422,0.0,0.0
ECFP_0423,0.0,0.0
ECFP_0424,0.0,0.0
ECFP_0425,0.0,0.0
ECFP_0426,0.0,0.0
ECFP_0427,0.0,0.0
ECFP_0428,0.0,0.0
ECFP_0429,0.0,0.0
ECFP_0430,0.0,0.0
ECFP_0431,0.0,0.0
ECFP_0432,0.0,0.0
ECFP_0433,0.0,0.0
ECFP_0434,0.0,0.0
ECFP_0435,0.0,0.0
ECFP_0436,0.0,0.0
ECFP_0437,0.0,0.0
ECFP_0438,0.0,0.0
ECFP_0439,0.0,0.0
ECFP_0440,0.0,0.0
ECFP_0441,0.0,0.0
ECFP_0442,0.0,0.0
ECFP_0443,0.0,0.0
ECFP_0444,0.0,0.0
ECFP_0445,0.0,0.0
ECFP_0446,0.0,0.0
ECFP_0447,0.0,0.0
ECFP_0448,0.0,0.0
ECFP_0449,0.0,0.0
ECFP_0450,0.0,0.0
ECFP_0451,0.0,0.0
ECFP_0452,0.0,0.0
ECFP_0453,0.0,0.0
ECFP_0454,0.0,0.0
ECFP_0455,0.0,0.0
